Comment;date;symbol;drawdown_open_1;maxrunup_open_1;open;volume;gap;adr;;eps_estimate;reported_eps;surprise_pct;total_revenue;numberOfFunds;marketCapitalizationPrimary;numberOfFunds_prev;earnings_acceleration;sales_acceleration;atr;vwap;close_ma_10;ema_12;ema_26;MACD;signal;hist;close_ma_20;volume_avg_10
Draw over low;2023-03-17 00:00:00+00:00;FDX;-5,03;4,32;226,05;12660500;10,78;5,02;;2,73;3,41;24,89;22169000000;;;;0;-2,83;35,22;198,33;205;205,47;204,2;1,27;1,3;-0,04;205,24;3449520
Retrace same day;2023-03-14 00:00:00+00:00;COIN;-6,65;30,45;65,45;25167800;10,61;6,26;;-2,53;-2,46;2,86;590339000;;;;0;;22,53;-624,63;61,39;60,87;60,63;0,24;1,04;-0,81;62,04;20591330
;2023-03-14 00:00:00+00:00;WAL;-41,8;10,01;38,66;51458000;48,01;5,3;;2,66;2,67;0,25;592300000;;;;0;;69,44;60,59;61,14;57,06;64,61;-7,55;-2,21;-5,34;67,57;14490910
;2023-03-13 00:00:00+00:00;SGEN;-0,95;3,84;198,75;9337500;15,14;4,94;;-1,04;-0,8;22,88;510300000;;;;0;;69,48;146,81;179,3;175,84;164,93;10,92;10,12;0,79;167,86;2139530
;2023-03-02 00:00:00+00:00;CRM;-11,97;2,61;193,12;37712500;15,4;4,11;;1,36;1,68;23,21;8384000000;;;;0;6,98;34,25;-202,39;166,53;168,54;164,9;3,65;3,48;0,16;168,69;10372930
;2023-03-01 00:00:00+00:00;DUOL;-1,78;35,27;103,11;2080600;13,57;4,07;;-0,53;-0,35;33,96;96065000;;;;0;;25,06;89,5;93,16;94,17;91,64;2,54;2,39;0,14;94,87;621870
;2023-03-01 00:00:00+00:00;DY;-0,2;12,5;94,49;2097800;12,21;3,54;;0,13;0,83;557,43;917466000;;;;-53,89;-11,99;27,13;95,4;84,04;86;87,22;-1,22;-2,53;1,31;85,38;657480
;2023-03-01 00:00:00+00:00;SRPT;-0,69;11;144;7074100;17,91;4,19;;-1,35;-1,24;7,99;230269000;;;;0;;36,05;98,15;125,35;125,91;124,29;1,63;0,14;1,49;122,86;1675520
;2023-02-27 00:00:00+00:00;SGEN;-7,35;11,13;182,54;5814200;13,12;4,45;;-1,04;-0,8;22,88;510300000;;;;0;;49,17;144,18;156,43;156,5;147,82;8,68;5,75;2,92;147,08;1944320
;2023-02-27 00:00:00+00:00;UNP;-1,94;0,41;213,93;12140400;10,26;4,41;;2,78;2,67;-3,79;6566000000;;;;0;;24,81;224,47;199,99;200,98;203,29;-2,31;-2,33;0,02;203,47;4850430
